url,price,rooms,area,location
https://www.otodom.pl/pl/oferta/katowice-korfantego-ID4ndrV,385000.0,3.0,53.68,Koszutka
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-63m2-ogrodek-bez-prowizji-ID4gc5b,562035.0,3.0,63.15, Dąbrówka Mała
https://www.otodom.pl/pl/oferta/mieszkanie-z-poddaszem-ID4n0fO,219900.0,2.0,48.75, Szopienice-Burowiec
https://www.otodom.pl/pl/oferta/kawalerka-na-juz-bezposrednio-przy-parku-slaskim-ID4mWFR,266000.0,1.0,25.71, Wełnowiec-Józefowiec
https://www.otodom.pl/pl/oferta/bardzo-przestronne-mieszkanie-niska-cena-ID4hIPy,430000.0,3.0,82.66, Śródmieście
https://www.otodom.pl/pl/oferta/prywatnosc-slonce-i-zielen-blisko-centrum-ID4n7hG,519999.0,3.0,64.0, Ligota-Panewniki
https://www.otodom.pl/pl/oferta/luksusowe-mieszkanie-4-pokoje-0-prowizji-ID4ndpf,699900.0,4.0,75.0, Osiedle Tysiąclecia
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-doskonaly-uklad-duzy-balkon-ID4ndoL,615069.0,3.0,67.59,Dąb
https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-3-pokoje-bezposrednio-ID4ndoK,569700.0,3.0,56.97,Dąb
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-idealna-lokalizacja-ID4ndoJ,463702.0,2.0,49.33,Dąb
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-bliskosc-centrum-katowic-ID4ndoH,434657.0,2.0,44.81,Dąb
https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-wysoki-standard-kredyt-2-ID4ndoI,444526.0,2.0,47.29,Dąb
https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-2-pokojowe-bezposrednio-ID4ndoG,401742.0,2.0,40.58,Dąb
https://www.otodom.pl/pl/oferta/piekny-apartament-3-pokoje-0-oplat-ID4ndok,399900.0,3.0,43.0, Wełnowiec-Józefowiec
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-69m2-balkon-bezposrednio-ID4eGlq,589390.0,3.0,69.34, Ligota-Panewniki
https://www.otodom.pl/pl/oferta/2-pokojowe-m-po-remoncie-piastow-ID4ndkx,390000.0,2.0,40.0,Osiedle Tysiąclecia
https://www.otodom.pl/pl/oferta/atrakcyjne-3-pok-72m-mieszkanie-katowice-kostuchna-ID4n5x5,458000.0,3.0,72.0, Kostuchna
https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-161m2-bez-prowizji-ID4mEgg,1995067.0,5.0,161.88, Koszutka
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-101m2-loggia-bez-prowizji-ID4g36D,805393.0,4.0,101.05, Koszutka
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-41m2-ogrodek-bez-prowizji-ID4g384,401142.0,2.0,41.48, Koszutka
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-38m2-loggia-bez-prowizji-ID4mEdZ,463743.0,1.0,38.13, Koszutka
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-61m2-loggia-bezposrednio-ID4g3aU,555216.0,3.0,61.1, Koszutka
